EGID;VOLUMEN
1257;6680
864;2531
210262620;135
940;2415
939;3390
210264134;2899
1403;1123
859;5538
1268;651
210059901;4815
702;2411
210059902;4815
846;191
210262573;125
855;1011
854;15366
1387;6288
210059907;21667
1451;3752
849;4168
1269;641
1270;641
1271;651
210059908;2825
852;915
210262381;3960
210059911;398
819;886
210262464;314
820;684
816;685
318;747
815;912
1441;830
210262660;146
1440;830
210262659;68
1439;864
821;1354
822;1727
828;3724
818;1324
210262445;464
817;1235
840;2344
839;2320
847;1899
848;493
210262550;96
210262479;154
845;6697
270;4960
269;1725
267;8403
263;5788
265;2974
266;3100
1275;651
1274;641
1273;676
1279;651
1278;641
1277;641
1272;641
1276;651
210262844;2140
23;447
40;465
210262522;132
41;489
42;471
43;483
44;489
45;459
46;462
210262617;47
210262675;38
210262525;101
24;491
25;766
26;594
27;531
28;569
29;469
30;479
31;484
32;480
33;469
34;454
35;482
36;432
37;445
38;502
39;455
210262585;78
936;4052
1265;651
1266;641
210262177;541
937;6160
938;5895
908;880
913;740
210262622;47
210262520;134
912;612
911;626
914;872
910;937
919;1148
920;1063
210262592;59
921;2427
210203282;180
922;666
2248847;986
2248855;1074
2248842;1163
930;1756
2248794;14579
273;1171
2249074;5029
210262711;93
931;1394
873;1294
210262623;69
872;761
932;2162
933;2559
1215;4118
934;2559
210196479;23486
677;781
676;781
675;796
674;723
673;729
672;796
671;781
670;781
669;781
668;781
667;781
666;772
665;743
664;743
663;772
662;781
625;787
624;796
623;812
622;772
661;781
660;781
678;5086
620;7010
618;963
210262182;6846
210262435;639
210218337;6241
1194;1813
1201;6759
210262469;257
210262419;704
1197;2189
2248905;4317
1184;642
1187;586
210262504;143
2249064;1291
1185;888
1188;1181
1186;718
210262676;40
1190;617
210262495;96
1205;663
210262644;40
1206;550
1202;467
210262690;36
1203;450
1204;453
1284;636
1283;648
1282;639
1281;639
1280;652
1287;585
1286;689
1285;652
1288;4204
1227;882
1228;558
1229;1921
210262517;170
1230;2035
1231;1321
1232;970
1233;485
1234;582
1235;729
1236;599
1237;806
1238;783
1239;841
1240;617
1241;1207
2331781;657
1242;1098
210262521;140
210059960;420
1208;1201
2248837;3604
1209;1815
1210;967
1213;2726
1211;1059
1212;1000
1214;808
210262446;436
465;693
466;693
469;693
467;693
470;693
464;693
468;693
461;693
463;693
462;693
210262183;1865
1216;913
1219;5619
1218;728
210256291;133
1217;3811
1221;7329
2248924;4361
1220;1572
210262457;152
210262448;195
1381;1062
210059972;5518
210059973;149
210059974;1647
210059975;359
1247;1472
210262648;138
1248;1449
1250;1425
1251;875
1252;1134
210262744;39
1254;980
210059978;1498
1151;1447
1152;874
1153;637
1154;670
1155;860
1156;837
1157;925
1159;1930
1158;786
1160;458
1161;867
1162;865
1163;763
1164;637
1165;629
1166;893
1167;771
1168;669
1169;732
1170;736
210262774;1389
2331787;1342
1043;891
1222;736
1224;603
210262704;28
1225;645
210262488;129
1065;1507
1064;1195
1066;1778
1063;722
1067;1661
1062;774
3022139;734
1068;761
210262655;49
1061;737
1059;2524
1060;820
1057;2522
1058;3342
1037;3011
1083;525
1082;653
1081;640
1036;2398
1056;2349
1054;886
1042;2525
1052;633
1051;674
1050;911
1049;697
1048;850
3114593;1523
1046;656
3114595;890
1045;808
733;3806
731;5308
2249082;6186
210262845;4830
1031;3904
1079;894
1070;1008
1078;2298
1076;602
1088;527
1075;558
1086;533
1077;733
1087;794
1023;640
2331788;2064
210262775;91
1024;1045
1071;616
1073;1244
210262748;20
1074;440
117;997
118;898
119;898
120;1105
832;1086
833;1003
834;1020
210262672;53
210262673;45
210262670;45
1315;571
1314;593
1313;593
1316;741
1317;561
1318;584
1319;571
1320;561
1321;561
1322;587
210262776;197
210262777;256
210262778;263
1113;547
1149;886
1112;502
1111;608
1145;838
1114;844
1144;589
1142;824
1115;784
1110;1250
1108;585
1150;695
1116;614
1107;611
1118;678
1106;651
1105;484
3022140;615
3022141;567
3022142;632
3022143;567
1008;4575
1001;2785
2248850;3787
210262745;38
1002;930
1010;5729
1033;5316
1003;595
1004;718
1035;3464
1012;868
1013;765
1025;41863
1014;672
1020;740
1015;796
1017;751
1016;663
1021;1182
1259;581
201023503;62
210262451;313
210262565;139
210060004;385
649;1217
210262426;445
210262140;2036
210262780;120
1382;134
657;1127
201007694;1352
210060008;6402
210262423;1753
210262696;64
201005143;950
446;860
434;1222
449;677
656;582
210262610;57
2248808;937
210193609;1141
432;983
439;1099
210262755;23
442;1039
210262556;85
443;1396
457;1069
458;1526
452;867
445;675
451;966
447;936
448;828
2331791;1069
440;847
210262531;92
210262474;262
460;739
210262509;137
210262473;220
2249090;7036
2248819;1395
210262597;92
210262698;28
210262482;132
450;790
459;1504
210262502;216
210222859;862
2248845;1151
2248846;1189
210245995;3013
454;724
210262131;2103
210060035;591
210262584;145
210060038;43
210262699;43
456;915
455;634
210262450;453
210262568;150
210262619;54
210262396;2710
210262781;1119
1324;3470
210262683;441
1323;2658
210262449;222
1416;1919
471;1156
210262410;521
210262493;178
210060049;189
201025315;682
472;2806
210060051;130
210262467;311
308;1484
309;1237
210060054;3407
200297385;2308
312;849
210060057;2438
210236916;890
1260;755
210262394;1931
1312;979
210262379;3517
210262503;118
210262527;92
210262130;1915
210262400;1559
1262;849
210262501;196
210262510;196
1263;2808
1264;1183
2331799;5199
1297;3821
1293;5559
2249035;1490
1351;475
210262415;868
1368;2164
210203290;2283
1294;1700
1295;773
210220758;2660
210262442;1011
1296;962
3022144;1305
210195956;702
210262516;175
1308;592
210262412;841
1302;867
1306;943
1305;1751
1304;1388
1329;1894
1309;2308
1328;2769
210262425;1241
210262452;468
1332;982
1417;519
1419;870
1343;839
210262390;2340
2249027;6649
210262607;77
1333;532
1342;3692
210203284;386
210262782;737
210262480;278
1352;1574
1367;391
1334;380
210262411;684
2248838;962
1340;623
210262523;127
210262752;38
2248917;2628
210060094;645
1338;602
1339;1928
1341;2441
210060097;2719
210060098;777
210262783;302
210262428;564
1348;1432
1347;547
1346;460
1345;662
1353;652
1421;1051
1420;1051
210262455;290
210060102;116
201020037;20159
1344;1207
210220641;195
1310;488
2248933;5126
1307;1924
1354;1551
210262496;253
1422;791
210262406;1752
1423;3229
210262489;462
1425;1350
1356;1403
1357;2263
1359;1860
1358;1507
210262424;648
210262687;82
1457;558
1456;325
1380;3843
1388;1902
1383;1134
1390;1756
1392;478
1391;682
1393;344
1394;488
210262404;1410
1444;2280
1442;695
1443;1663
210262391;3576
210262387;2689
1399;459
200297716;1888
1414;699
210262563;69
1413;529
1411;621
210262431;601
1395;1056
1412;810
1389;331
1384;708
210262609;46
1372;2555
1369;450
2331801;4258
1371;2647
210262461;233
1376;2576
210262612;53
210060121;150
210262388;2791
1370;1538
3022145;1025
1385;2336
1386;3218
1374;2068
1373;3826
1378;2482
210262433;302
1429;1486
210262441;443
1431;2952
1432;964
210262392;2726
1426;2126
1445;1677
210222569;491
1447;2581
210262528;88
1427;651
210195955;947
210262380;4332
210262437;463
1428;894
210262377;3794
201007700;76
1449;1421
210262604;81
210262462;274
1450;1212
210262702;85
210294890;1997
1452;288
210262548;147
210262407;1366
210262454;385
210262598;70
1454;1508
1455;1077
2331803;1112
2248915;1194
210262403;957
210060144;3733
1327;778
1326;3178
210262709;142
210262444;774
2331806;9241
210220767;1729
210262420;1541
599;3047
600;2207
601;686
602;662
609;3254
606;542
608;3007
605;559
604;698
603;825
210262477;210
607;2235
597;3909
582;4266
210262784;1422
1089;670
1090;638
1095;966
1094;748
1093;890
210262579;115
1092;913
